model,reasoning_type,complexity,run,question_id,is_correct,score,tokens
gemini_3_flash_preview,multihop,2,1,q_986362,True,1.0,2286.0
gemini_3_flash_preview,multihop,2,1,q_378073,True,1.0,2321.0
gemini_3_flash_preview,multihop,2,1,q_809401,True,1.0,2375.0
gemini_3_flash_preview,multihop,2,1,q_942912,True,1.0,2421.0
gemini_3_flash_preview,multihop,2,1,q_619868,True,1.0,2424.0
gemini_3_flash_preview,multihop,2,1,q_782242,True,1.0,2596.0
gemini_3_flash_preview,multihop,2,1,q_327208,True,1.0,2498.0
gemini_3_flash_preview,multihop,2,1,q_404139,False,0.0,2579.0
gemini_3_flash_preview,multihop,2,1,q_921620,True,1.0,2784.0
gemini_3_flash_preview,multihop,2,1,q_648931,True,1.0,2728.0
gemini_3_flash_preview,multihop,2,2,q_823798,True,1.0,1303.0
gemini_3_flash_preview,multihop,2,2,q_352253,True,1.0,1456.0
gemini_3_flash_preview,multihop,2,2,q_468744,True,1.0,1415.0
gemini_3_flash_preview,multihop,2,2,q_822987,True,1.0,1438.0
gemini_3_flash_preview,multihop,2,2,q_165693,True,1.0,1424.0
gemini_3_flash_preview,multihop,2,2,q_264873,False,0.0,1460.0
gemini_3_flash_preview,multihop,2,2,q_899577,True,1.0,1503.0
gemini_3_flash_preview,multihop,2,2,q_845797,True,1.0,1678.0
gemini_3_flash_preview,multihop,2,2,q_474168,True,1.0,1672.0
gemini_3_flash_preview,multihop,2,2,q_332261,True,1.0,1772.0
gemini_3_flash_preview,multihop,2,3,q_702979,True,1.0,2604.0
gemini_3_flash_preview,multihop,2,3,q_154389,True,1.0,2696.0
gemini_3_flash_preview,multihop,2,3,q_456014,False,0.0,2724.0
gemini_3_flash_preview,multihop,2,3,q_311817,False,0.5,2801.0
gemini_3_flash_preview,multihop,2,3,q_276905,True,1.0,2745.0
gemini_3_flash_preview,multihop,2,3,q_476218,True,1.0,2852.0
gemini_3_flash_preview,multihop,2,3,q_273960,True,1.0,2871.0
gemini_3_flash_preview,multihop,2,3,q_668322,True,1.0,2941.0
gemini_3_flash_preview,multihop,2,3,q_422113,True,1.0,2887.0
gemini_3_flash_preview,multihop,2,3,q_691332,True,1.0,3051.0
gemini_3_flash_preview,multihop,3,1,q_711435,True,1.0,10033.0
gemini_3_flash_preview,multihop,3,1,q_110447,True,1.0,10053.0
gemini_3_flash_preview,multihop,3,1,q_718331,True,1.0,10231.0
gemini_3_flash_preview,multihop,3,1,q_949179,True,1.0,10232.0
gemini_3_flash_preview,multihop,3,1,q_696500,True,1.0,10217.0
gemini_3_flash_preview,multihop,3,1,q_949742,True,1.0,10273.0
gemini_3_flash_preview,multihop,3,1,q_928183,True,1.0,10281.0
gemini_3_flash_preview,multihop,3,1,q_171433,True,1.0,10435.0
gemini_3_flash_preview,multihop,3,1,q_656389,True,1.0,10501.0
gemini_3_flash_preview,multihop,3,1,q_970394,True,1.0,10474.0
gemini_3_flash_preview,multihop,3,2,q_136638,True,1.0,8869.0
gemini_3_flash_preview,multihop,3,2,q_705550,False,0.5,8989.0
gemini_3_flash_preview,multihop,3,2,q_356683,True,1.0,9001.0
gemini_3_flash_preview,multihop,3,2,q_236270,True,1.0,9172.0
gemini_3_flash_preview,multihop,3,2,q_656667,True,1.0,9194.0
gemini_3_flash_preview,multihop,3,2,q_645447,True,1.0,9300.0
gemini_3_flash_preview,multihop,3,2,q_620975,True,1.0,9240.0
gemini_3_flash_preview,multihop,3,2,q_772039,False,0.0,9354.0
gemini_3_flash_preview,multihop,3,2,q_407914,True,1.0,9519.0
gemini_3_flash_preview,multihop,3,2,q_238241,True,1.0,9586.0
gemini_3_flash_preview,multihop,3,3,q_151997,True,1.0,7649.0
gemini_3_flash_preview,multihop,3,3,q_987193,True,1.0,7840.0
gemini_3_flash_preview,multihop,3,3,q_145687,True,1.0,7864.0
gemini_3_flash_preview,multihop,3,3,q_761818,True,1.0,7977.0
gemini_3_flash_preview,multihop,3,3,q_247843,True,1.0,7878.0
gemini_3_flash_preview,multihop,3,3,q_142070,True,1.0,8051.0
gemini_3_flash_preview,multihop,3,3,q_147200,True,1.0,8169.0
gemini_3_flash_preview,multihop,3,3,q_225196,True,1.0,8089.0
gemini_3_flash_preview,multihop,3,3,q_847630,True,1.0,8103.0
gemini_3_flash_preview,multihop,3,3,q_232217,True,1.0,8130.0
gemini_3_flash_preview,multihop,1,1,q_383626,True,1.0,869.0
gemini_3_flash_preview,multihop,1,1,q_564488,True,1.0,994.0
gemini_3_flash_preview,multihop,1,1,q_167167,True,1.0,962.0
gemini_3_flash_preview,multihop,1,2,q_323749,True,1.0,947.0
gemini_3_flash_preview,multihop,1,2,q_234862,True,1.0,941.0
gemini_3_flash_preview,multihop,1,2,q_528251,True,1.0,1116.0
gemini_3_flash_preview,multihop,1,3,q_274616,True,1.0,934.0
gemini_3_flash_preview,multihop,1,3,q_292391,True,1.0,877.0
gemini_3_flash_preview,multihop,1,3,q_683282,True,1.0,1076.0
gemini_3_flash_preview,multihop,1,3,q_686839,True,1.0,1006.0
gemini_3_flash_preview,multihop,1,3,q_475291,True,1.0,1084.0
gemini_3_flash_preview,multihop,1,3,q_730503,True,1.0,1119.0
gemini_3_flash_preview,multihop,1,3,q_893805,True,1.0,1129.0
gemini_3_flash_preview,multihop,1,3,q_253883,True,1.0,1126.0
gemini_3_flash_preview,multihop,1,3,q_680902,True,1.0,1192.0
gemini_3_flash_preview,multihop,1,3,q_803302,True,1.0,1248.0
gemini_3_flash_preview,multihop,4,1,q_670884,True,1.0,27120.0
gemini_3_flash_preview,multihop,4,1,q_780685,True,1.0,27230.0
gemini_3_flash_preview,multihop,4,1,q_932696,True,1.0,27329.0
gemini_3_flash_preview,multihop,4,1,q_941497,True,1.0,27319.0
gemini_3_flash_preview,multihop,4,1,q_786396,False,0.5,27442.0
gemini_3_flash_preview,multihop,4,1,q_626920,True,1.0,27434.0
gemini_3_flash_preview,multihop,4,1,q_241793,False,0.5,27429.0
gemini_3_flash_preview,multihop,4,1,q_644645,False,0.0,27744.0
gemini_3_flash_preview,multihop,4,1,q_503690,True,1.0,27718.0
gemini_3_flash_preview,multihop,4,1,q_117572,True,1.0,27901.0
gemini_3_flash_preview,multihop,4,2,q_713951,False,0.5,17892.0
gemini_3_flash_preview,multihop,4,2,q_963388,True,1.0,17971.0
gemini_3_flash_preview,multihop,4,2,q_721809,False,0.0,17978.0
gemini_3_flash_preview,multihop,4,2,q_386560,True,1.0,18231.0
gemini_3_flash_preview,multihop,4,2,q_941258,True,1.0,18212.0
gemini_3_flash_preview,multihop,4,2,q_439336,False,0.0,18331.0
gemini_3_flash_preview,multihop,4,2,q_243014,True,1.0,18568.0
gemini_3_flash_preview,multihop,4,2,q_454279,False,0.0,18482.0
gemini_3_flash_preview,multihop,4,2,q_450525,True,1.0,18721.0
gemini_3_flash_preview,multihop,4,2,q_638331,True,1.0,18847.0
gemini_3_flash_preview,multihop,4,3,q_726917,True,1.0,30885.0
gemini_3_flash_preview,multihop,4,3,q_273439,True,1.0,30893.0
gemini_3_flash_preview,multihop,4,3,q_525142,False,0.0,30996.0
gemini_3_flash_preview,multihop,4,3,q_778850,False,0.0,31085.0
gemini_3_flash_preview,multihop,4,3,q_144829,True,1.0,31107.0
gemini_3_flash_preview,multihop,4,3,q_982362,True,1.0,31167.0
gemini_3_flash_preview,multihop,4,3,q_885910,False,0.5,31246.0
gemini_3_flash_preview,multihop,4,3,q_637950,False,0.5,31324.0
gemini_3_flash_preview,multihop,4,3,q_608862,False,0.5,31283.0
gemini_3_flash_preview,multihop,4,3,q_100612,False,0.0,31490.0
gemini_3_flash_preview,hierarchical,2,1,q_712590,True,1.0,840.0
gemini_3_flash_preview,hierarchical,2,1,q_275237,True,1.0,867.0
gemini_3_flash_preview,hierarchical,2,1,q_184621,True,1.0,849.0
gemini_3_flash_preview,hierarchical,2,1,q_322710,True,1.0,898.0
gemini_3_flash_preview,hierarchical,2,1,q_770896,True,1.0,899.0
gemini_3_flash_preview,hierarchical,2,1,q_705693,True,1.0,883.0
gemini_3_flash_preview,hierarchical,2,1,q_904893,True,1.0,924.0
gemini_3_flash_preview,hierarchical,2,1,q_390877,True,1.0,887.0
gemini_3_flash_preview,hierarchical,2,1,q_664453,True,1.0,964.0
gemini_3_flash_preview,hierarchical,2,1,q_901266,True,1.0,939.0
gemini_3_flash_preview,hierarchical,2,2,q_642240,True,1.0,630.0
gemini_3_flash_preview,hierarchical,2,2,q_531167,True,1.0,667.0
gemini_3_flash_preview,hierarchical,2,2,q_274008,True,1.0,691.0
gemini_3_flash_preview,hierarchical,2,2,q_700008,True,1.0,665.0
gemini_3_flash_preview,hierarchical,2,2,q_478914,True,1.0,643.0
gemini_3_flash_preview,hierarchical,2,2,q_993314,True,1.0,697.0
gemini_3_flash_preview,hierarchical,2,2,q_316392,True,1.0,706.0
gemini_3_flash_preview,hierarchical,2,2,q_757781,True,1.0,696.0
gemini_3_flash_preview,hierarchical,2,2,q_871434,True,1.0,766.0
gemini_3_flash_preview,hierarchical,2,2,q_429016,True,1.0,755.0
gemini_3_flash_preview,hierarchical,2,3,q_485687,True,1.0,710.0
gemini_3_flash_preview,hierarchical,2,3,q_730919,True,1.0,689.0
gemini_3_flash_preview,hierarchical,2,3,q_544245,True,1.0,670.0
gemini_3_flash_preview,hierarchical,2,3,q_514106,True,1.0,705.0
gemini_3_flash_preview,hierarchical,2,3,q_396279,True,1.0,716.0
gemini_3_flash_preview,hierarchical,2,3,q_884440,True,1.0,733.0
gemini_3_flash_preview,hierarchical,2,3,q_585598,True,1.0,756.0
gemini_3_flash_preview,hierarchical,2,3,q_994582,True,1.0,781.0
gemini_3_flash_preview,hierarchical,2,3,q_190862,True,1.0,779.0
gemini_3_flash_preview,hierarchical,2,3,q_588605,True,1.0,818.0
gemini_3_flash_preview,hierarchical,3,1,q_797357,True,1.0,1006.0
